HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type
HETATM,1,R1,PDa,A,1,-3.253,2.568,-0.697,X
HETATM,2,O,PDa,A,1,-2.401,1.971,0.264,O
HETATM,3,C1,BGC,A,2,-1.189,1.472,-0.326,C
HETATM,4,O5,BGC,A,2,-1.421,0.264,-1.080,O
HETATM,5,C5,BGC,A,2,-0.235,-0.253,-1.689,C
HETATM,6,C6,BGC,A,2,-0.633,-1.464,-2.543,C
HETATM,7,O6,BGC,A,2,0.515,-2.072,-3.130,O
HETATM,8,C4,BGC,A,2,0.799,-0.636,-0.617,C
HETATM,9,O4,BGC,A,2,2.050,-1.049,-1.177,O
HETATM,10,C3,BGC,A,2,1.075,0.572,0.279,C
HETATM,11,O3,BGC,A,2,1.916,0.188,1.379,O
HETATM,12,C2,BGC,A,2,-0.216,1.176,0.830,C
HETATM,13,O2,BGC,A,2,0.116,2.365,1.562,O
HETATM,14,H1,BGC,A,2,-0.760,2.246,-0.981,H
HETATM,15,H5,BGC,A,2,0.197,0.502,-2.360,H
HETATM,16,H6,BGC,A,2,-1.318,-1.152,-3.339,H
HETATM,17,H61,BGC,A,2,-1.156,-2.212,-1.936,H
HETATM,18,H6O,BGC,A,2,0.182,-2.750,-3.748,H
HETATM,19,H4,BGC,A,2,0.428,-1.465,-0.002,H
HETATM,20,H4O,BGC,A,2,1.835,-1.620,-1.949,H
HETATM,21,H3,BGC,A,2,1.642,1.333,-0.271,H
HETATM,22,H3O,BGC,A,2,2.644,-0.326,0.971,H
HETATM,23,H2,BGC,A,2,-0.680,0.488,1.547,H
HETATM,24,H2O,BGC,A,2,0.852,2.105,2.154,H
