HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,Trust,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,O3,ADA,A,1,0.409,2.022,-0.074,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,2,C3,ADA,A,1,0.978,2.72,-1.194,C,a-D-GalpA,,75.4,54,0,,a,d,galpa,gala,P
HETATM,3,C2,ADA,A,1,0.005,3.773,-1.762,C,a-D-GalpA,,65.8,54,0,,a,d,galpa,gala,P
HETATM,4,O2,ADA,A,1,-0.054,4.917,-0.891,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,5,C1,ADA,A,1,0.457,4.236,-3.165,C,a-D-GalpA,,100.5,54,0,,a,d,galpa,gala,P
HETATM,6,O1,ADA,A,1,1.607,5.066,-3.028,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,7,O5,ADA,A,1,0.746,3.164,-4.046,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,8,C5,ADA,A,1,1.768,2.291,-3.551,C,a-D-GalpA,,71.7,54,0,,a,d,galpa,gala,P
HETATM,9,C6,ADA,A,1,2.099,1.184,-4.554,C,a-D-GalpA,,170.7,54,0,,a,d,galpa,gala,P
HETATM,10,O6,ADA,A,1,1.431,0.922,-5.545,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,11,O61,ADA,A,1,3.274,0.591,-4.21,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,12,C4,ADA,A,1,1.274,1.642,-2.257,C,a-D-GalpA,,67.1,54,0,,a,d,galpa,gala,P
HETATM,13,O4,ADA,A,1,0.075,0.879,-2.506,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,14,H3,ADA,A,1,1.918,3.192,-0.882,H,a-D-GalpA,,4.08,64,0,,a,d,galpa,gala,P
HETATM,15,H2,ADA,A,1,-1.005,3.344,-1.814,H,a-D-GalpA,,3.93,64,0,,a,d,galpa,gala,P
HETATM,16,H2O,ADA,A,1,0.707,5.482,-1.137,H,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,17,H1,ADA,A,1,-0.337,4.848,-3.607,H,a-D-GalpA,,5.17,64,0,,a,d,galpa,gala,P
HETATM,18,H1O,ADA,A,1,1.631,5.594,-3.846,H,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,19,H5,ADA,A,1,2.687,2.869,-3.398,H,a-D-GalpA,,4.87,64,0,,a,d,galpa,gala,P
HETATM,20,H4,ADA,A,1,2.006,0.934,-1.856,H,a-D-GalpA,,4.46,64,0,,a,d,galpa,gala,P
HETATM,21,H4O,ADA,A,1,-0.384,1.249,-3.289,H,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,22,C1,DLY,A,2,3.289,-0.76,-4.374,C,Missing Monosaccharide,61,-1.0,-1,0,,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
HETATM,23,O1,DLY,A,2,2.299,-1.482,-4.406,O,Missing Monosaccharide,61,-1.0,-1,0,,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
HETATM,24,C2,DLY,A,2,4.739,-1.28,-4.392,C,Missing Monosaccharide,61,-1.0,-1,0,,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
HETATM,25,N2,DLY,A,2,4.754,-2.648,-4.958,N,Missing Monosaccharide,61,-1.0,-1,0,,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
HETATM,26,C3,DLY,A,2,5.361,-1.291,-2.982,C,Missing Monosaccharide,61,-1.0,-1,0,,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
HETATM,27,C4,DLY,A,2,5.691,0.119,-2.467,C,Missing Monosaccharide,61,-1.0,-1,0,,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
HETATM,28,C5,DLY,A,2,6.655,0.125,-1.276,C,Missing Monosaccharide,61,-1.0,-1,0,,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
HETATM,29,C6,DLY,A,2,6.066,-0.508,-0.016,C,Missing Monosaccharide,61,-1.0,-1,0,,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
HETATM,30,N6,DLY,A,2,7.008,-0.379,1.092,N,Missing Monosaccharide,61,-1.0,-1,0,,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
