HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,Trust,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,N2,A2G,A,1,-1.832,1.763,1.331,N,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,2,C2,A2G,A,1,-0.64,0.905,1.19,C,a-D-GalpN,,49.1,63,0,,a,d,galpn,galn,P
HETATM,3,C1,A2G,A,1,0.256,0.984,2.444,C,a-D-GalpN,,96.0,63,0,,a,d,galpn,galn,P
HETATM,4,O1,A2G,A,1,-0.473,0.607,3.605,O,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,5,O5,A2G,A,1,1.415,0.17,2.325,O,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,6,C5,A2G,A,1,1.112,-1.223,2.097,C,a-D-GalpN,,71.7,63,0,,a,d,galpn,galn,P
HETATM,7,C6,A2G,A,1,2.453,-1.953,1.965,C,a-D-GalpN,,62.0,63,0,,a,d,galpn,galn,P
HETATM,8,O6,A2G,A,1,3.189,-1.819,3.184,O,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,9,C4,A2G,A,1,0.228,-1.433,0.858,C,a-D-GalpN,,66.3,63,0,,a,d,galpn,galn,P
HETATM,10,O4,A2G,A,1,0.944,-1.093,-0.34,O,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,11,C3,A2G,A,1,-1.041,-0.569,0.941,C,a-D-GalpN,,74.9,63,0,,a,d,galpn,galn,P
HETATM,12,O3,A2G,A,1,-1.772,-0.636,-0.3,O,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,13,H2N,A2G,A,1,-2.426,1.552,2.128,H,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,14,H2,A2G,A,1,-0.066,1.256,0.326,H,a-D-GalpN,,4.4,69,0,,a,d,galpn,galn,P
HETATM,15,H1,A2G,A,1,0.586,2.021,2.579,H,a-D-GalpN,,5.18,69,0,,a,d,galpn,galn,P
HETATM,16,H1O,A2G,A,1,0.003,1.008,4.351,H,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,17,H5,A2G,A,1,0.599,-1.599,2.992,H,a-D-GalpN,,4.23,69,0,,a,d,galpn,galn,P
HETATM,18,H6,A2G,A,1,3.071,-1.525,1.168,H,a-D-GalpN,,3.76,69,0,,a,d,galpn,galn,P
HETATM,19,H61,A2G,A,1,2.309,-3.02,1.772,H,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,20,H6O,A2G,A,1,3.207,-0.86,3.365,H,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,21,H4,A2G,A,1,-0.028,-2.494,0.772,H,a-D-GalpN,,4.19,69,0,,a,d,galpn,galn,P
HETATM,22,H4O,A2G,A,1,0.285,-1.075,-1.064,H,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,23,H3,A2G,A,1,-1.681,-0.912,1.764,H,a-D-GalpN,,4.06,69,0,,a,d,galpn,galn,P
HETATM,24,C21,A2G,A,1,-1.757,2.682,-0.953,C,a-D-GalpN,,23.3,-1,1,,a,d,galpn,galn,P
HETATM,25,C11,A2G,A,1,-2.507,2.375,0.314,C,a-D-GalpN,,175.6,-1,1,85.0,a,d,galpn,galn,P
HETATM,26,O11,A2G,A,1,-3.694,2.669,0.454,O,a-D-GalpN,,-1.0,-1,1,,a,d,galpn,galn,P
HETATM,27,H21,A2G,A,1,-1.595,1.768,-1.53,H,a-D-GalpN,,-1.0,-1,1,98.0,a,d,galpn,galn,P
HETATM,28,H22,A2G,A,1,-0.802,3.161,-0.723,H,a-D-GalpN,,-1.0,-1,1,,a,d,galpn,galn,P
HETATM,29,H23,A2G,A,1,-2.345,3.379,-1.558,H,a-D-GalpN,,-1.0,-1,1,,a,d,galpn,galn,P
HETATM,30,C1,GLA,A,2,-2.539,-1.835,-0.469,C,a-D-Galp,3.0,102.4,74,0,,a,d,galp,gal,P
HETATM,31,O5,GLA,A,2,-3.567,-1.956,0.513,O,a-D-Galp,3.0,-1.0,-1,0,,a,d,galp,gal,P
HETATM,32,C5,GLA,A,2,-4.527,-0.88,0.466,C,a-D-Galp,3.0,72.3,74,0,,a,d,galp,gal,P
HETATM,33,C6,GLA,A,2,-5.517,-1.085,1.617,C,a-D-Galp,3.0,62.5,74,0,,a,d,galp,gal,P
HETATM,34,O6,GLA,A,2,-4.868,-0.818,2.863,O,a-D-Galp,3.0,-1.0,-1,0,,a,d,galp,gal,P
HETATM,35,C4,GLA,A,2,-5.223,-0.814,-0.906,C,a-D-Galp,3.0,69.3,74,0,,a,d,galp,gal,P
HETATM,36,O4,GLA,A,2,-6.028,-1.981,-1.165,O,a-D-Galp,3.0,-1.0,-1,0,,a,d,galp,gal,P
HETATM,37,C3,GLA,A,2,-4.176,-0.737,-2.025,C,a-D-Galp,3.0,70.4,74,0,,a,d,galp,gal,P
HETATM,38,O3,GLA,A,2,-4.815,-0.872,-3.309,O,a-D-Galp,3.0,-1.0,-1,0,,a,d,galp,gal,P
HETATM,39,C2,GLA,A,2,-3.145,-1.863,-1.883,C,a-D-Galp,3.0,69.6,74,0,,a,d,galp,gal,P
HETATM,40,O2,GLA,A,2,-2.135,-1.731,-2.895,O,a-D-Galp,3.0,-1.0,-1,0,,a,d,galp,gal,P
HETATM,41,H1,GLA,A,2,-1.872,-2.697,-0.374,H,a-D-Galp,3.0,5.13,71,0,,a,d,galp,gal,P
HETATM,42,H5,GLA,A,2,-3.991,0.054,0.649,H,a-D-Galp,3.0,4.04,71,0,,a,d,galp,gal,P
HETATM,43,H6,GLA,A,2,-5.877,-2.118,1.646,H,a-D-Galp,3.0,3.78,71,0,,a,d,galp,gal,P
HETATM,44,H61,GLA,A,2,-6.366,-0.401,1.533,H,a-D-Galp,3.0,-1.0,-1,0,,a,d,galp,gal,P
HETATM,45,H6O,GLA,A,2,-5.481,-1.081,3.569,H,a-D-Galp,3.0,-1.0,-1,0,,a,d,galp,gal,P
HETATM,46,H4,GLA,A,2,-5.894,0.05,-0.969,H,a-D-Galp,3.0,3.87,71,0,,a,d,galp,gal,P
HETATM,47,H4O,GLA,A,2,-6.81,-1.939,-0.587,H,a-D-Galp,3.0,-1.0,-1,0,,a,d,galp,gal,P
HETATM,48,H3,GLA,A,2,-3.677,0.238,-2.024,H,a-D-Galp,3.0,4.0,71,0,,a,d,galp,gal,P
HETATM,49,H3O,GLA,A,2,-5.53,-1.527,-3.167,H,a-D-Galp,3.0,-1.0,-1,0,,a,d,galp,gal,P
HETATM,50,H2,GLA,A,2,-3.635,-2.829,-2.054,H,a-D-Galp,3.0,3.58,71,0,,a,d,galp,gal,P
HETATM,51,H2O,GLA,A,2,-2.622,-1.489,-3.709,H,a-D-Galp,3.0,-1.0,-1,0,,a,d,galp,gal,P
