HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,R1,PDa,A,1,4.075,-4.411,-1.949,X,Missing Monosaccharide,,-1.0,-1,0,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
HETATM,2,O,PDa,A,1,3.644,-4.478,-0.6,O,Missing Monosaccharide,,-1.0,-1,0,missing_a_b,missing_L_D,missing monosaccharide,missing monosaccharide,missing_carbon_number
HETATM,3,C1,BGC,A,2,2.595,-3.541,-0.303,C,b-D-Glcp,1,-1.0,0,0,b,d,glcp,glc,P
HETATM,4,O5,BGC,A,2,2.627,-3.254,1.107,O,b-D-Glcp,1,-1.0,-1,0,b,d,glcp,glc,P
HETATM,5,C5,BGC,A,2,1.614,-2.321,1.521,C,b-D-Glcp,1,-1.0,0,0,b,d,glcp,glc,P
HETATM,6,C6,BGC,A,2,1.846,-1.96,2.998,C,b-D-Glcp,1,-1.0,0,0,b,d,glcp,glc,P
HETATM,7,O6,BGC,A,2,1.493,-3.028,3.877,O,b-D-Glcp,1,-1.0,-1,0,b,d,glcp,glc,P
HETATM,8,C4,BGC,A,2,0.219,-2.93,1.27,C,b-D-Glcp,1,-1.0,0,0,b,d,glcp,glc,P
HETATM,9,O4,BGC,A,2,-0.843,-2.151,1.839,O,b-D-Glcp,1,-1.0,-1,0,b,d,glcp,glc,P
HETATM,10,C3,BGC,A,2,0.083,-3.267,-0.223,C,b-D-Glcp,1,-1.0,0,0,b,d,glcp,glc,P
HETATM,11,O3,BGC,A,2,-1.169,-3.922,-0.471,O,b-D-Glcp,1,-1.0,-1,0,b,d,glcp,glc,P
HETATM,12,C2,BGC,A,2,1.235,-4.168,-0.688,C,b-D-Glcp,1,-1.0,0,0,b,d,glcp,glc,P
HETATM,13,O2,BGC,A,2,1.064,-4.343,-2.107,O,b-D-Glcp,1,-1.0,-1,0,b,d,glcp,glc,P
HETATM,14,H1,BGC,A,2,2.766,-2.602,-0.848,H,b-D-Glcp,1,4.13,29,0,b,d,glcp,glc,P
HETATM,15,H5,BGC,A,2,1.763,-1.401,0.939,H,b-D-Glcp,1,-1.0,29,0,b,d,glcp,glc,P
HETATM,16,H6,BGC,A,2,2.905,-1.742,3.168,H,b-D-Glcp,1,3.43,29,0,b,d,glcp,glc,P
HETATM,17,H61,BGC,A,2,1.265,-1.075,3.283,H,b-D-Glcp,1,3.66,-1,0,b,d,glcp,glc,P
