HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,Trust,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,O4,GTR,A,1,-2.481,-1.391,0.417,O,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,2,C4,GTR,A,1,-1.305,-0.594,0.65,C,b-D-GalpA,,80.1,66,0,,b,d,galpa,gala,P
HETATM,3,C3,GTR,A,1,-1.528,0.903,0.367,C,b-D-GalpA,,77.8,66,0,,b,d,galpa,gala,P
HETATM,4,O3,GTR,A,1,-2.485,1.502,1.248,O,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,5,C2,GTR,A,1,-1.951,1.109,-1.088,C,b-D-GalpA,,71.4,66,0,,b,d,galpa,gala,P
HETATM,6,O2,GTR,A,1,-2.076,2.519,-1.341,O,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,7,C1,GTR,A,1,-0.896,0.475,-2.01,C,b-D-GalpA,,96.5,66,0,,b,d,galpa,gala,P
HETATM,8,O1,GTR,A,1,-1.369,0.548,-3.344,O,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,9,O5,GTR,A,1,-0.65,-0.885,-1.704,O,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,10,C5,GTR,A,1,-0.227,-1.078,-0.344,C,b-D-GalpA,,76.5,66,0,,b,d,galpa,gala,P
HETATM,11,C6,GTR,A,1,0.098,-2.547,-0.091,C,b-D-GalpA,,174.3,66,0,,b,d,galpa,gala,P
HETATM,12,O6,GTR,A,1,-0.019,-3.482,-0.865,O,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,13,O61,GTR,A,1,0.629,-2.76,1.136,O,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,14,H4,GTR,A,1,-0.967,-0.738,1.684,H,b-D-GalpA,,4.34,71,0,,b,d,galpa,gala,P
HETATM,15,H3,GTR,A,1,-0.59,1.444,0.554,H,b-D-GalpA,,4.24,71,0,,b,d,galpa,gala,P
HETATM,16,H3O,GTR,A,1,-2.659,2.389,0.863,H,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,17,H2,GTR,A,1,-2.943,0.676,-1.262,H,b-D-GalpA,,3.53,71,0,,b,d,galpa,gala,P
HETATM,18,H2O,GTR,A,1,-2.27,2.582,-2.3,H,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,19,H1,GTR,A,1,0.045,1.039,-1.975,H,b-D-GalpA,,4.67,71,0,,b,d,galpa,gala,P
HETATM,20,H1O,GTR,A,1,-0.942,-0.21,-3.784,H,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,21,H5,GTR,A,1,0.711,-0.523,-0.206,H,b-D-GalpA,,3.85,71,0,,b,d,galpa,gala,P
HETATM,22,H6O,GTR,A,1,0.791,-3.728,1.139,H,b-D-GalpA,,-1.0,-1,0,,b,d,galpa,gala,P
HETATM,23,N2,NBG,A,2,-5.28,-1.931,-0.285,N,b-D-GlcpN,4.0,-1.0,-1,0,,b,d,glcpn,glcn,P
HETATM,24,C2,NBG,A,2,-4.661,-2.27,1.013,C,b-D-GlcpN,4.0,56.6,68,0,,b,d,glcpn,glcn,P
HETATM,25,C1,NBG,A,2,-3.517,-1.281,1.394,C,b-D-GlcpN,4.0,102.5,68,0,,b,d,glcpn,glcn,P
HETATM,26,O5,NBG,A,2,-2.997,-1.591,2.69,O,b-D-GlcpN,4.0,-1.0,-1,0,,b,d,glcpn,glcn,P
HETATM,27,C5,NBG,A,2,-3.987,-1.423,3.715,C,b-D-GlcpN,4.0,75.7,68,0,,b,d,glcpn,glcn,P
HETATM,28,C6,NBG,A,2,-3.281,-1.561,5.067,C,b-D-GlcpN,4.0,62.0,68,0,,b,d,glcpn,glcn,P
HETATM,29,O6,NBG,A,2,-2.7,-2.856,5.199,O,b-D-GlcpN,4.0,-1.0,-1,0,,b,d,glcpn,glcn,P
HETATM,30,C4,NBG,A,2,-5.091,-2.469,3.514,C,b-D-GlcpN,4.0,71.2,68,0,,b,d,glcpn,glcn,P
HETATM,31,O4,NBG,A,2,-6.122,-2.353,4.5,O,b-D-GlcpN,4.0,-1.0,-1,0,,b,d,glcpn,glcn,P
HETATM,32,C3,NBG,A,2,-5.724,-2.266,2.13,C,b-D-GlcpN,4.0,74.9,68,0,,b,d,glcpn,glcn,P
