HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,Trust,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,O4,ADA,A,1,4.598,4.08,-0.928,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,2,C4,ADA,A,1,3.745,5.126,-1.447,C,a-D-GalpA,,80.4,67,0,,a,d,galpa,gala,P
HETATM,3,C3,ADA,A,1,2.548,5.312,-0.498,C,a-D-GalpA,,69.7,67,0,,a,d,galpa,gala,P
HETATM,4,O3,ADA,A,1,2.963,5.732,0.806,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,5,C2,ADA,A,1,1.738,4.012,-0.396,C,a-D-GalpA,,69.5,67,0,,a,d,galpa,gala,P
HETATM,6,O2,ADA,A,1,0.575,4.269,0.412,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,7,C1,ADA,A,1,1.322,3.565,-1.81,C,a-D-GalpA,,93.7,67,0,,a,d,galpa,gala,P
HETATM,8,O1,ADA,A,1,0.36,4.472,-2.34,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,9,O5,ADA,A,1,2.438,3.466,-2.68,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,10,C5,ADA,A,1,3.169,4.691,-2.81,C,a-D-GalpA,,71.8,67,0,,a,d,galpa,gala,P
HETATM,11,C6,ADA,A,1,4.312,4.522,-3.805,C,a-D-GalpA,,174.1,67,0,,a,d,galpa,gala,P
HETATM,12,O6,ADA,A,1,4.93,3.481,-3.98,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,13,O61,ADA,A,1,4.643,5.661,-4.463,O,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,14,H4,ADA,A,1,4.296,6.071,-1.528,H,a-D-GalpA,,4.44,57,0,,a,d,galpa,gala,P
HETATM,15,H3,ADA,A,1,1.907,6.121,-0.871,H,a-D-GalpA,,4.02,57,0,,a,d,galpa,gala,P
HETATM,16,H3O,ADA,A,1,2.169,5.657,1.373,H,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,17,H2,ADA,A,1,2.335,3.244,0.108,H,a-D-GalpA,,3.91,57,0,,a,d,galpa,gala,P
HETATM,18,H2O,ADA,A,1,0.22,3.402,0.688,H,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,19,H1,ADA,A,1,0.839,2.584,-1.755,H,a-D-GalpA,,5.24,57,0,,a,d,galpa,gala,P
HETATM,20,H1O,ADA,A,1,-0.181,4.761,-1.578,H,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,21,H5,ADA,A,1,2.491,5.451,-3.219,H,a-D-GalpA,,4.41,57,0,,a,d,galpa,gala,P
HETATM,22,H6O,ADA,A,1,4.043,6.42,-4.334,H,a-D-GalpA,,-1.0,-1,0,,a,d,galpa,gala,P
HETATM,23,N2,A2G,A,2,6.711,2.324,-1.943,N,a-D-GalpN,4,-1.0,-1,0,,a,d,galpn,galn,P
