HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,Trust,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,O3,GLA,A,1,-0.995,0.855,-2.941,O,a-D-Galp,,-1.0,-1,0,,a,d,galp,gal,P
HETATM,2,C3,GLA,A,1,-2.173,1.348,-2.252,C,a-D-Galp,,80.5,67,0,,a,d,galp,gal,P
HETATM,3,C2,GLA,A,1,-2.104,0.804,-0.817,C,a-D-Galp,,72.1,67,0,,a,d,galp,gal,P
HETATM,4,O2,GLA,A,1,-0.915,1.305,-0.178,O,a-D-Galp,,-1.0,-1,0,,a,d,galp,gal,P
HETATM,5,C1,GLA,A,1,-3.347,1.235,-0.025,C,a-D-Galp,,93.6,67,0,,a,d,galp,gal,P
HETATM,6,O1,GLA,A,1,-3.325,2.646,0.169,O,a-D-Galp,,-1.0,-1,0,,a,d,galp,gal,P
HETATM,7,O5,GLA,A,1,-4.55,0.828,-0.662,O,a-D-Galp,,-1.0,-1,0,,a,d,galp,gal,P
HETATM,8,C5,GLA,A,1,-4.695,1.352,-1.989,C,a-D-Galp,,71.3,67,0,,a,d,galp,gal,P
HETATM,9,C6,GLA,A,1,-6.037,0.872,-2.554,C,a-D-Galp,,62.3,67,0,,a,d,galp,gal,P
HETATM,10,O6,GLA,A,1,-6.262,1.385,-3.864,O,a-D-Galp,,-1.0,-1,0,,a,d,galp,gal,P
HETATM,11,C4,GLA,A,1,-3.516,0.941,-2.891,C,a-D-Galp,,70.2,67,0,,a,d,galp,gal,P
HETATM,12,O4,GLA,A,1,-3.525,-0.477,-3.127,O,a-D-Galp,,-1.0,-1,0,,a,d,galp,gal,P
HETATM,13,H3,GLA,A,1,-2.087,2.442,-2.229,H,a-D-Galp,,3.87,81,0,,a,d,galp,gal,P
HETATM,14,H2,GLA,A,1,-2.033,-0.29,-0.834,H,a-D-Galp,,3.86,81,0,,a,d,galp,gal,P
HETATM,15,H2O,GLA,A,1,-0.176,0.946,-0.704,H,a-D-Galp,,-1.0,-1,0,,a,d,galp,gal,P
