HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,Trust,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,N2,A2G,A,1,-2.219,-0.88,0.162,N,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,2,C2,A2G,A,1,-0.751,-0.928,0.302,C,a-D-GalpN,,50.8,83,0,,a,d,galpn,galn,P
HETATM,3,C1,A2G,A,1,-0.086,0.448,0.068,C,a-D-GalpN,,91.6,83,0,,a,d,galpn,galn,P
HETATM,4,O1,A2G,A,1,-0.648,1.431,0.931,O,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,5,O5,A2G,A,1,1.326,0.392,0.239,O,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,6,C5,A2G,A,1,1.729,-0.025,1.55,C,a-D-GalpN,,72.3,83,0,,a,d,galpn,galn,P
HETATM,7,C6,A2G,A,1,3.261,-0.009,1.581,C,a-D-GalpN,,62.2,83,0,,a,d,galpn,galn,P
HETATM,8,O6,A2G,A,1,3.763,-0.478,2.826,O,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,9,C4,A2G,A,1,1.148,-1.405,1.913,C,a-D-GalpN,,69.6,83,0,,a,d,galpn,galn,P
HETATM,10,O4,A2G,A,1,1.683,-2.452,1.081,O,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,11,C3,A2G,A,1,-0.372,-1.407,1.718,C,a-D-GalpN,,68.6,83,0,,a,d,galpn,galn,P
HETATM,12,O3,A2G,A,1,-0.88,-2.735,1.93,O,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,13,H2N,A2G,A,1,-2.76,-1.211,0.958,H,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,14,H2,A2G,A,1,-0.378,-1.654,-0.431,H,a-D-GalpN,,4.25,68,0,,a,d,galpn,galn,P
HETATM,15,H1,A2G,A,1,-0.261,0.786,-0.956,H,a-D-GalpN,,5.22,68,0,,a,d,galpn,galn,P
HETATM,16,H1O,A2G,A,1,-1.611,1.395,0.778,H,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,17,H5,A2G,A,1,1.369,0.707,2.284,H,a-D-GalpN,,4.09,68,0,,a,d,galpn,galn,P
HETATM,18,H6,A2G,A,1,3.674,-0.637,0.784,H,a-D-GalpN,,3.76,68,0,,a,d,galpn,galn,P
HETATM,19,H61,A2G,A,1,3.642,1.003,1.398,H,a-D-GalpN,,3.8,-1,0,,a,d,galpn,galn,P
HETATM,20,H6O,A2G,A,1,3.763,0.278,3.441,H,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,21,H4,A2G,A,1,1.382,-1.678,2.948,H,a-D-GalpN,,4.01,68,0,,a,d,galpn,galn,P
HETATM,22,H4O,A2G,A,1,2.611,-2.577,1.359,H,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,23,H3,A2G,A,1,-0.843,-0.766,2.473,H,a-D-GalpN,,3.89,68,0,,a,d,galpn,galn,P
HETATM,24,H3O,A2G,A,1,-0.24,-3.329,1.485,H,a-D-GalpN,,-1.0,-1,0,,a,d,galpn,galn,P
HETATM,25,C21,A2G,A,1,-2.283,-0.538,-2.286,C,a-D-GalpN,,23.3,-1,1,,a,d,galpn,galn,P
HETATM,26,C11,A2G,A,1,-2.966,-0.802,-0.974,C,a-D-GalpN,,175.6,-1,1,85.0,a,d,galpn,galn,P
HETATM,27,O11,A2G,A,1,-4.189,-0.906,-0.895,O,a-D-GalpN,,-1.0,-1,1,,a,d,galpn,galn,P
HETATM,28,H21,A2G,A,1,-2.934,-0.869,-3.1,H,a-D-GalpN,,-1.0,-1,1,98.0,a,d,galpn,galn,P
HETATM,29,H22,A2G,A,1,-1.345,-1.091,-2.371,H,a-D-GalpN,,-1.0,-1,1,,a,d,galpn,galn,P
HETATM,30,H23,A2G,A,1,-2.1,0.533,-2.393,H,a-D-GalpN,,-1.0,-1,1,,a,d,galpn,galn,P
