HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,C1,MOH,A,1,2.052,-3.595,-2.3,C,Me,,58.0,87,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,2,O1,MOH,A,1,1.336,-2.825,-1.343,O,Me,,-1.0,-1,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,3,H1,MOH,A,1,1.862,-4.652,-2.098,H,Me,,3.56,97,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,4,H11,MOH,A,1,1.707,-3.369,-3.314,H,Me,,-1.0,-1,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,5,H12,MOH,A,1,3.128,-3.418,-2.219,H,Me,,-1.0,-1,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,6,C1,GAL,A,2,1.481,-1.416,-1.575,C,b-D-Galp,1,103.9,56,0,b,d,galp,gal,P
HETATM,7,O5,GAL,A,2,2.84,-1.031,-1.387,O,b-D-Galp,1,-1.0,-1,0,b,d,galp,gal,P
HETATM,8,C5,GAL,A,2,3.054,0.368,-1.636,C,b-D-Galp,1,76.1,56,0,b,d,galp,gal,P
HETATM,9,C6,GAL,A,2,4.561,0.634,-1.565,C,b-D-Galp,1,62.1,56,0,b,d,galp,gal,P
HETATM,10,O6,GAL,A,2,5.186,0.153,-2.755,O,b-D-Galp,1,-1.0,-1,0,b,d,galp,gal,P
HETATM,11,C4,GAL,A,2,2.266,1.198,-0.612,C,b-D-Galp,1,70.9,56,0,b,d,galp,gal,P
HETATM,12,O4,GAL,A,2,2.671,0.933,0.743,O,b-D-Galp,1,-1.0,-1,0,b,d,galp,gal,P
HETATM,13,C3,GAL,A,2,0.776,0.849,-0.711,C,b-D-Galp,1,73.6,56,0,b,d,galp,gal,P
HETATM,14,O3,GAL,A,2,0.081,1.541,0.344,O,b-D-Galp,1,-1.0,-1,0,b,d,galp,gal,P
HETATM,15,C2,GAL,A,2,0.543,-0.668,-0.6,C,b-D-Galp,1,71.6,56,0,b,d,galp,gal,P
HETATM,16,O2,GAL,A,2,-0.83,-0.944,-0.953,O,b-D-Galp,1,-1.0,-1,0,b,d,galp,gal,P
HETATM,17,H1,GAL,A,2,1.174,-1.212,-2.61,H,b-D-Galp,1,4.55,36,0,b,d,galp,gal,P
HETATM,18,H5,GAL,A,2,2.704,0.592,-2.653,H,b-D-Galp,1,3.67,36,0,b,d,galp,gal,P
HETATM,19,H6,GAL,A,2,5.014,0.114,-0.714,H,b-D-Galp,1,3.77,36,0,b,d,galp,gal,P
HETATM,20,H61,GAL,A,2,4.771,1.705,-1.495,H,b-D-Galp,1,3.78,-1,0,b,d,galp,gal,P
HETATM,21,H6O,GAL,A,2,6.144,0.126,-2.589,H,b-D-Galp,1,-1.0,-1,0,b,d,galp,gal,P
HETATM,22,H4,GAL,A,2,2.406,2.272,-0.779,H,b-D-Galp,1,4.06,36,0,b,d,galp,gal,P
HETATM,23,H4O,GAL,A,2,3.599,1.204,0.849,H,b-D-Galp,1,-1.0,-1,0,b,d,galp,gal,P
HETATM,24,H3,GAL,A,2,0.36,1.219,-1.656,H,b-D-Galp,1,3.7,36,0,b,d,galp,gal,P
HETATM,25,H3O,GAL,A,2,0.609,1.362,1.149,H,b-D-Galp,1,-1.0,-1,0,b,d,galp,gal,P
