HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,C1,MOH,A,1,-1.175,-3.196,3.011,C,Me,,58.1,84,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,2,O1,MOH,A,1,0.09,-2.656,2.65,O,Me,,-1.0,-1,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,3,H1,MOH,A,1,-1.249,-4.203,2.591,H,Me,,3.57,98,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,4,H11,MOH,A,1,-1.268,-3.266,4.099,H,Me,,-1.0,-1,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,5,H12,MOH,A,1,-1.989,-2.592,2.599,H,Me,,-1.0,-1,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,6,C1,GTR,A,2,0.314,-1.369,3.242,C,b-D-GalpA,1,104.6,66,0,b,d,galpa,gala,P
HETATM,7,O5,GTR,A,2,-0.68,-0.431,2.849,O,b-D-GalpA,1,-1.0,-1,0,b,d,galpa,gala,P
HETATM,8,C5,GTR,A,2,-0.444,0.882,3.377,C,b-D-GalpA,1,74.6,66,0,b,d,galpa,gala,P
HETATM,9,C6,GTR,A,2,-1.633,1.8,3.12,C,b-D-GalpA,1,174.4,66,0,b,d,galpa,gala,P
HETATM,10,O6,GTR,A,2,-2.724,1.503,2.658,O,b-D-GalpA,1,-1.0,-1,0,b,d,galpa,gala,P
HETATM,11,O61,GTR,A,2,-1.428,3.059,3.571,O,b-D-GalpA,1,-1.0,-1,0,b,d,galpa,gala,P
HETATM,12,C4,GTR,A,2,0.887,1.46,2.848,C,b-D-GalpA,1,77.4,66,0,b,d,galpa,gala,P
HETATM,13,O4,GTR,A,2,0.892,1.481,1.407,O,b-D-GalpA,1,-1.0,-1,0,b,d,galpa,gala,P
HETATM,14,C3,GTR,A,2,1.991,0.495,3.319,C,b-D-GalpA,1,72.6,66,0,b,d,galpa,gala,P
HETATM,15,O3,GTR,A,2,3.295,0.922,2.905,O,b-D-GalpA,1,-1.0,-1,0,b,d,galpa,gala,P
HETATM,16,C2,GTR,A,2,1.72,-0.92,2.802,C,b-D-GalpA,1,71.6,66,0,b,d,galpa,gala,P
HETATM,17,O2,GTR,A,2,2.733,-1.804,3.321,O,b-D-GalpA,1,-1.0,-1,0,b,d,galpa,gala,P
HETATM,18,H1,GTR,A,2,0.29,-1.499,4.332,H,b-D-GalpA,1,4.29,55,0,b,d,galpa,gala,P
HETATM,19,H5,GTR,A,2,-0.399,0.791,4.472,H,b-D-GalpA,1,4.18,55,0,b,d,galpa,gala,P
HETATM,20,H6O,GTR,A,2,-2.277,3.509,3.365,H,b-D-GalpA,1,-1.0,-1,0,b,d,galpa,gala,P
HETATM,21,H4,GTR,A,2,1.094,2.462,3.245,H,b-D-GalpA,1,4.48,55,0,b,d,galpa,gala,P
HETATM,22,H3,GTR,A,2,2.023,0.484,4.415,H,b-D-GalpA,1,3.74,55,0,b,d,galpa,gala,P
HETATM,23,H3O,GTR,A,2,3.871,0.141,3.035,H,b-D-GalpA,1,-1.0,-1,0,b,d,galpa,gala,P
HETATM,24,H2,GTR,A,2,1.817,-0.953,1.71,H,b-D-GalpA,1,3.51,55,0,b,d,galpa,gala,P
HETATM,25,H2O,GTR,A,2,2.458,-2.695,3.026,H,b-D-GalpA,1,-1.0,-1,0,b,d,galpa,gala,P
HETATM,26,C1,FCA,A,3,0.742,2.793,0.851,C,a-D-Fucp,"1,4",99.8,70,0,a,d,fucp,fuc,P
HETATM,27,O5,FCA,A,3,1.954,3.543,0.976,O,a-D-Fucp,"1,4",-1.0,-1,0,a,d,fucp,fuc,P
HETATM,28,C5,FCA,A,3,3.048,2.964,0.248,C,a-D-Fucp,"1,4",68.8,70,0,a,d,fucp,fuc,P
HETATM,29,C6,FCA,A,3,4.278,3.817,0.538,C,a-D-Fucp,"1,4",16.5,70,0,a,d,fucp,fuc,P
HETATM,30,C4,FCA,A,3,2.737,2.859,-1.258,C,a-D-Fucp,"1,4",73.1,70,0,a,d,fucp,fuc,P
HETATM,31,O4,FCA,A,3,2.562,4.148,-1.878,O,a-D-Fucp,"1,4",-1.0,-1,0,a,d,fucp,fuc,P
HETATM,32,C3,FCA,A,3,1.429,2.086,-1.462,C,a-D-Fucp,"1,4",71.0,70,0,a,d,fucp,fuc,P
HETATM,33,O3,FCA,A,3,1.045,2.133,-2.849,O,a-D-Fucp,"1,4",-1.0,-1,0,a,d,fucp,fuc,P
HETATM,34,C2,FCA,A,3,0.309,2.712,-0.625,C,a-D-Fucp,"1,4",68.6,70,0,a,d,fucp,fuc,P
HETATM,35,O2,FCA,A,3,-0.905,1.966,-0.79,O,a-D-Fucp,"1,4",-1.0,-1,0,a,d,fucp,fuc,P
HETATM,36,H1,FCA,A,3,-0.042,3.327,1.396,H,a-D-Fucp,"1,4",5.01,58,0,a,d,fucp,fuc,P
HETATM,37,H5,FCA,A,3,3.242,1.957,0.632,H,a-D-Fucp,"1,4",4.3,58,0,a,d,fucp,fuc,P
HETATM,38,H6,FCA,A,3,4.103,4.871,0.301,H,a-D-Fucp,"1,4",1.22,58,0,a,d,fucp,fuc,P
