HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,C1,MOH,A,1,1.862,-2.88,-2.384,C,Me,,56.2,76,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,2,O1,MOH,A,1,1.689,-1.917,-1.348,O,Me,,-1.0,-1,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,3,H1,MOH,A,1,1.511,-3.863,-2.06,H,Me,,3.42,97,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,4,H11,MOH,A,1,2.929,-2.946,-2.614,H,Me,,-1.0,-1,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,5,H12,MOH,A,1,1.331,-2.569,-3.29,H,Me,,-1.0,-1,0,missing_a_b,missing_L_D,me,me,missing_carbon_number
HETATM,6,C1,ADA,A,2,0.322,-1.823,-0.937,C,a-D-GalpA,1,100.9,66,0,a,d,galpa,gala,P
HETATM,7,O5,ADA,A,2,-0.013,-2.912,-0.062,O,a-D-GalpA,1,-1.0,-1,0,a,d,galpa,gala,P
HETATM,8,C5,ADA,A,2,0.779,-2.898,1.144,C,a-D-GalpA,1,72.7,66,0,a,d,galpa,gala,P
HETATM,9,C6,ADA,A,2,0.414,-4.107,1.999,C,a-D-GalpA,1,175.8,66,0,a,d,galpa,gala,P
HETATM,10,O6,ADA,A,2,0.94,-4.381,3.068,O,a-D-GalpA,1,-1.0,-1,0,a,d,galpa,gala,P
HETATM,11,O61,ADA,A,2,-0.536,-4.883,1.419,O,a-D-GalpA,1,-1.0,-1,0,a,d,galpa,gala,P
HETATM,12,C4,ADA,A,2,0.574,-1.611,1.939,C,a-D-GalpA,1,71.4,66,0,a,d,galpa,gala,P
HETATM,13,O4,ADA,A,2,-0.799,-1.481,2.348,O,a-D-GalpA,1,-1.0,-1,0,a,d,galpa,gala,P
HETATM,14,C3,ADA,A,2,0.904,-0.409,1.053,C,a-D-GalpA,1,70.1,66,0,a,d,galpa,gala,P
HETATM,15,O3,ADA,A,2,0.586,0.794,1.778,O,a-D-GalpA,1,-1.0,-1,0,a,d,galpa,gala,P
HETATM,16,C2,ADA,A,2,0.081,-0.453,-0.246,C,a-D-GalpA,1,77.9,66,0,a,d,galpa,gala,P
HETATM,17,O2,ADA,A,2,0.484,0.689,-1.038,O,a-D-GalpA,1,-1.0,-1,0,a,d,galpa,gala,P
HETATM,18,H1,ADA,A,2,-0.329,-1.916,-1.809,H,a-D-GalpA,1,5.46,40,0,a,d,galpa,gala,P
HETATM,19,H5,ADA,A,2,1.832,-3.034,0.868,H,a-D-GalpA,1,4.46,40,0,a,d,galpa,gala,P
HETATM,20,H6O,ADA,A,2,-0.821,-4.436,0.587,H,a-D-GalpA,1,-1.0,-1,0,a,d,galpa,gala,P
HETATM,21,H4,ADA,A,2,1.18,-1.605,2.851,H,a-D-GalpA,1,4.3,40,0,a,d,galpa,gala,P
HETATM,22,H4O,ADA,A,2,-0.844,-0.611,2.795,H,a-D-GalpA,1,-1.0,-1,0,a,d,galpa,gala,P
HETATM,23,H3,ADA,A,2,1.978,-0.373,0.834,H,a-D-GalpA,1,4.01,40,0,a,d,galpa,gala,P
HETATM,24,H3O,ADA,A,2,0.808,1.525,1.169,H,a-D-GalpA,1,-1.0,-1,0,a,d,galpa,gala,P
HETATM,25,H2,ADA,A,2,-0.98,-0.343,0.015,H,a-D-GalpA,1,3.85,40,0,a,d,galpa,gala,P
HETATM,26,C1,GTR,A,3,-0.508,1.093,-1.991,C,b-D-GalpA,"1,2",106.0,62,0,b,d,galpa,gala,P
HETATM,27,O5,GTR,A,3,-0.778,0.058,-2.917,O,b-D-GalpA,"1,2",-1.0,-1,0,b,d,galpa,gala,P
HETATM,28,C5,GTR,A,3,-1.774,0.383,-3.902,C,b-D-GalpA,"1,2",76.0,62,0,b,d,galpa,gala,P
HETATM,29,C6,GTR,A,3,-2.031,-0.886,-4.733,C,b-D-GalpA,"1,2",175.0,62,0,b,d,galpa,gala,P
HETATM,30,O6,GTR,A,3,-1.754,-2.014,-4.335,O,b-D-GalpA,"1,2",-1.0,-1,0,b,d,galpa,gala,P
HETATM,31,O61,GTR,A,3,-2.701,-0.715,-5.898,O,b-D-GalpA,"1,2",-1.0,-1,0,b,d,galpa,gala,P
HETATM,32,C4,GTR,A,3,-1.369,1.619,-4.714,C,b-D-GalpA,"1,2",71.1,62,0,b,d,galpa,gala,P
HETATM,33,O4,GTR,A,3,-0.267,1.331,-5.58,O,b-D-GalpA,"1,2",-1.0,-1,0,b,d,galpa,gala,P
HETATM,34,C3,GTR,A,3,-0.975,2.768,-3.78,C,b-D-GalpA,"1,2",73.6,62,0,b,d,galpa,gala,P
HETATM,35,O3,GTR,A,3,-0.422,3.835,-4.567,O,b-D-GalpA,"1,2",-1.0,-1,0,b,d,galpa,gala,P
HETATM,36,C2,GTR,A,3,0.044,2.319,-2.733,C,b-D-GalpA,"1,2",72.9,62,0,b,d,galpa,gala,P
HETATM,37,O2,GTR,A,3,0.291,3.416,-1.842,O,b-D-GalpA,"1,2",-1.0,-1,0,b,d,galpa,gala,P
HETATM,38,H1,GTR,A,3,-1.418,1.362,-1.437,H,b-D-GalpA,"1,2",4.65,59,0,b,d,galpa,gala,P
HETATM,39,H5,GTR,A,3,-2.71,0.588,-3.366,H,b-D-GalpA,"1,2",4.15,59,0,b,d,galpa,gala,P
HETATM,40,H6O,GTR,A,3,-2.842,0.202,-6.198,H,b-D-GalpA,"1,2",-1.0,-1,0,b,d,galpa,gala,P
HETATM,41,H4,GTR,A,3,-2.185,1.954,-5.364,H,b-D-GalpA,"1,2",4.33,59,0,b,d,galpa,gala,P
HETATM,42,H4O,GTR,A,3,0.121,2.207,-5.808,H,b-D-GalpA,"1,2",-1.0,-1,0,b,d,galpa,gala,P
