HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component,Trust,bound_AB,fischer_projection_DL,origin_mono,reformulated_standard_mono,carbon_number_PF
HETATM,1,R,NGA,A,1,5.743,6.178,-1.74,X,b-D-GalpN,,-1.0,-1,0,,b,d,galpn,galn,P
HETATM,2,O3,NGA,A,1,1.563,1.32,-0.297,O,b-D-GalpN,,-1.0,-1,0,,b,d,galpn,galn,P
HETATM,3,C3,NGA,A,1,1.236,0.782,-1.588,C,b-D-GalpN,,82.8,77,0,,b,d,galpn,galn,P
HETATM,4,C2,NGA,A,1,-0.301,0.786,-1.776,C,b-D-GalpN,,53.8,77,0,,b,d,galpn,galn,P
HETATM,5,N2,NGA,A,1,-0.809,2.174,-1.656,N,b-D-GalpN,,-1.0,-1,0,,b,d,galpn,galn,P
HETATM,6,C1,NGA,A,1,-0.579,0.106,-3.149,C,b-D-GalpN,,103.9,77,0,,b,d,galpn,galn,P
HETATM,7,R1,NGA,A,1,-2.073,0.036,-3.557,X,b-D-GalpN,,-1.0,-1,0,,b,d,galpn,galn,P
HETATM,8,O5,NGA,A,1,-0.047,-1.221,-3.206,O,b-D-GalpN,,-1.0,-1,0,,b,d,galpn,galn,P
HETATM,9,C5,NGA,A,1,1.366,-1.291,-3.002,C,b-D-GalpN,,77.7,77,0,,b,d,galpn,galn,P
HETATM,10,C6,NGA,A,1,1.808,-2.757,-3.151,C,b-D-GalpN,,63.7,77,0,,b,d,galpn,galn,P
HETATM,11,O6,NGA,A,1,1.313,-3.622,-2.142,O,b-D-GalpN,,-1.0,-1,0,,b,d,galpn,galn,P
HETATM,12,C4,NGA,A,1,1.788,-0.65,-1.666,C,b-D-GalpN,,70.5,77,0,,b,d,galpn,galn,P
HETATM,13,O4,NGA,A,1,1.31,-1.39,-0.545,O,b-D-GalpN,,-1.0,-1,0,,b,d,galpn,galn,P
HETATM,14,H3,NGA,A,1,1.694,1.38,-2.387,H,b-D-GalpN,,3.84,81,0,,b,d,galpn,galn,P
HETATM,15,H2,NGA,A,1,-0.756,0.194,-0.971,H,b-D-GalpN,,4.02,81,0,,b,d,galpn,galn,P
HETATM,16,H2N,NGA,A,1,-0.166,2.945,-1.806,H,b-D-GalpN,,-1.0,-1,0,,b,d,galpn,galn,P
HETATM,17,H1,NGA,A,1,-0.08,0.695,-3.932,H,b-D-GalpN,,4.52,81,0,,b,d,galpn,galn,P
HETATM,18,H5,NGA,A,1,1.839,-0.731,-3.819,H,b-D-GalpN,,3.72,81,0,,b,d,galpn,galn,P
HETATM,19,H6,NGA,A,1,1.523,-3.137,-4.138,H,b-D-GalpN,,3.76,81,0,,b,d,galpn,galn,P
HETATM,20,H61,NGA,A,1,2.901,-2.804,-3.098,H,b-D-GalpN,,-1.0,-1,0,,b,d,galpn,galn,P
HETATM,21,H4,NGA,A,1,2.881,-0.638,-1.585,H,b-D-GalpN,,4.12,81,0,,b,d,galpn,galn,P
HETATM,22,H4O,NGA,A,1,1.432,-0.821,0.242,H,b-D-GalpN,,-1.0,-1,0,,b,d,galpn,galn,P
HETATM,23,C11,NGA,A,1,-1.968,2.45,-0.964,C,b-D-GalpN,,175.7,-1,1,76.0,b,d,galpn,galn,P
HETATM,24,C21,NGA,A,1,-2.303,3.915,-0.917,C,b-D-GalpN,,23.6,-1,1,,b,d,galpn,galn,P
HETATM,25,O1,NGA,A,1,-2.654,1.607,-0.402,O,b-D-GalpN,,-1.0,-1,1,,b,d,galpn,galn,P
HETATM,26,H21,NGA,A,1,-2.04,4.401,-1.86,H,b-D-GalpN,,-1.0,-1,1,99.0,b,d,galpn,galn,P
HETATM,27,H22,NGA,A,1,-3.38,4.037,-0.76,H,b-D-GalpN,,-1.0,-1,1,,b,d,galpn,galn,P
HETATM,28,H23,NGA,A,1,-1.761,4.388,-0.093,H,b-D-GalpN,,-1.0,-1,1,,b,d,galpn,galn,P
HETATM,29,S1,SO4,A,2,-0.2,-4.196,-2.256,S,S,6.0,-1.0,-1,0,,missing_a_b,missing_L_D,s,s,missing_carbon_number
HETATM,30,O,SO4,A,2,-0.459,-4.59,-3.623,O,S,6.0,-1.0,-1,0,,missing_a_b,missing_L_D,s,s,missing_carbon_number
HETATM,31,O1,SO4,A,2,-1.09,-3.349,-1.495,O,S,6.0,-1.0,-1,0,,missing_a_b,missing_L_D,s,s,missing_carbon_number
HETATM,32,O2,SO4,A,2,-0.098,-5.544,-1.38,O,S,6.0,-1.0,-1,0,,missing_a_b,missing_L_D,s,s,missing_carbon_number
HETATM,33,H,SO4,A,2,-0.311,-5.283,-0.462,H,S,6.0,-1.0,-1,0,,missing_a_b,missing_L_D,s,s,missing_carbon_number
HETATM,34,O4,BDP,A,3,4.532,5.938,-1.055,O,b-D-GlcpA,3.0,-1.0,-1,0,,b,d,glcpa,glca,P
HETATM,35,C4,BDP,A,3,3.922,4.692,-1.43,C,b-D-GlcpA,3.0,81.3,78,0,,b,d,glcpa,glca,P
HETATM,36,C3,BDP,A,3,4.622,3.536,-0.689,C,b-D-GlcpA,3.0,75.2,78,0,,b,d,glcpa,glca,P
HETATM,37,O3,BDP,A,3,5.911,3.236,-1.257,O,b-D-GlcpA,3.0,-1.0,-1,0,,b,d,glcpa,glca,P
HETATM,38,C2,BDP,A,3,3.817,2.235,-0.747,C,b-D-GlcpA,3.0,73.6,78,0,,b,d,glcpa,glca,P
HETATM,39,O2,BDP,A,3,4.45,1.252,0.079,O,b-D-GlcpA,3.0,-1.0,-1,0,,b,d,glcpa,glca,P
HETATM,40,C1,BDP,A,3,2.368,2.501,-0.302,C,b-D-GlcpA,3.0,105.6,78,0,,b,d,glcpa,glca,P
HETATM,41,O5,BDP,A,3,1.784,3.504,-1.135,O,b-D-GlcpA,3.0,-1.0,-1,0,,b,d,glcpa,glca,P
HETATM,42,C5,BDP,A,3,2.446,4.769,-1.006,C,b-D-GlcpA,3.0,76.4,78,0,,b,d,glcpa,glca,P
HETATM,43,C6,BDP,A,3,1.707,5.771,-1.887,C,b-D-GlcpA,3.0,173.9,78,0,,b,d,glcpa,glca,P
HETATM,44,O6,BDP,A,3,2.192,6.496,-2.739,O,b-D-GlcpA,3.0,-1.0,-1,0,,b,d,glcpa,glca,P
HETATM,45,O61,BDP,A,3,0.383,5.81,-1.634,O,b-D-GlcpA,3.0,-1.0,-1,0,,b,d,glcpa,glca,P
HETATM,46,H4,BDP,A,3,3.995,4.535,-2.516,H,b-D-GlcpA,3.0,3.8,87,0,,b,d,glcpa,glca,P
HETATM,47,H3,BDP,A,3,4.816,3.812,0.356,H,b-D-GlcpA,3.0,3.62,87,0,,b,d,glcpa,glca,P
HETATM,48,H3O,BDP,A,3,6.385,4.085,-1.381,H,b-D-GlcpA,3.0,-1.0,-1,0,,b,d,glcpa,glca,P
HETATM,49,H2,BDP,A,3,3.84,1.839,-1.769,H,b-D-GlcpA,3.0,3.39,87,0,,b,d,glcpa,glca,P
HETATM,50,H2O,BDP,A,3,5.4,1.275,-0.162,H,b-D-GlcpA,3.0,-1.0,-1,0,,b,d,glcpa,glca,P
HETATM,51,H1,BDP,A,3,2.363,2.851,0.738,H,b-D-GlcpA,3.0,4.54,87,0,,b,d,glcpa,glca,P
HETATM,52,H5,BDP,A,3,2.357,5.135,0.026,H,b-D-GlcpA,3.0,3.86,87,0,,b,d,glcpa,glca,P
HETATM,53,H6O,BDP,A,3,0.028,6.495,-2.244,H,b-D-GlcpA,3.0,-1.0,-1,0,,b,d,glcpa,glca,P
