HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component
HETATM,1,O2,GAL,A,1,0.431,-0.07,-2.191,O,b-D-Galp,,-1,-1,0
HETATM,2,C2,GAL,A,1,1.108,1.189,-2.268,C,b-D-Galp,,78.1,57,0
HETATM,3,C1,GAL,A,1,1.685,1.363,-3.683,C,b-D-Galp,,92.2,57,0
HETATM,4,O1,GAL,A,1,2.704,0.4,-3.934,O,b-D-Galp,,-1,-1,0
HETATM,5,O5,GAL,A,1,2.278,2.643,-3.843,O,b-D-Galp,,-1,-1,0
HETATM,6,C5,GAL,A,1,1.319,3.702,-3.724,C,b-D-Galp,,76.9,57,0
HETATM,7,C6,GAL,A,1,2.056,5.014,-4.004,C,b-D-Galp,,61.8,57,0
HETATM,8,O6,GAL,A,1,1.162,6.111,-3.914,O,b-D-Galp,,-1,-1,0
HETATM,9,C4,GAL,A,1,0.632,3.692,-2.342,C,b-D-Galp,,71.4,57,0
HETATM,10,O4,GAL,A,1,1.525,4.041,-1.276,O,b-D-Galp,,-1,-1,0
HETATM,11,C3,GAL,A,1,0.076,2.299,-2.023,C,b-D-Galp,,73.4,57,0
HETATM,12,O3,GAL,A,1,-0.342,2.24,-0.643,O,b-D-Galp,,-1,-1,0
HETATM,13,H2,GAL,A,1,1.89,1.272,-1.515,H,b-D-Galp,,3.69,79,0
HETATM,14,H1,GAL,A,1,0.898,1.216,-4.436,H,b-D-Galp,,4.67,79,0
HETATM,15,H1O,GAL,A,1,2.572,0.144,-4.868,H,b-D-Galp,,-1,-1,0
HETATM,16,H5,GAL,A,1,0.546,3.564,-4.495,H,b-D-Galp,,3.71,79,0
HETATM,17,H6,GAL,A,1,2.878,5.167,-3.301,H,b-D-Galp,,3.79-3.81,79,0
HETATM,18,H61,GAL,A,1,2.489,4.992,-5.011,H,b-D-Galp,,-1,-1,0
HETATM,19,H6O,GAL,A,1,1.63,6.888,-4.265,H,b-D-Galp,,-1,-1,0
HETATM,20,H4,GAL,A,1,-0.188,4.414,-2.318,H,b-D-Galp,,3.96,79,0
HETATM,21,H4O,GAL,A,1,1.683,5.002,-1.349,H,b-D-Galp,,-1,-1,0
HETATM,22,H3,GAL,A,1,-0.816,2.103,-2.628,H,b-D-Galp,,3.76,79,0
HETATM,23,H3O,GAL,A,1,0.149,2.964,-0.182,H,b-D-Galp,,-1,-1,0
HETATM,24,O3,GLC,A,2,1.549,-0.096,2.363,O,a-D-Glcp,2,-1,-1,0
HETATM,25,C3,GLC,A,2,1.698,-0.058,0.928,C,a-D-Glcp,2,81.8,60,0
HETATM,26,C2,GLC,A,2,0.569,-0.817,0.217,C,a-D-Glcp,2,71.7,60,0
HETATM,27,O2,GLC,A,2,-0.717,-0.192,0.356,O,a-D-Glcp,2,-1,-1,0
HETATM,28,C1,GLC,A,2,0.896,-1.066,-1.276,C,a-D-Glcp,2,97.9,60,0
HETATM,29,O5,GLC,A,2,2.205,-1.551,-1.531,O,a-D-Glcp,2,-1,-1,0
HETATM,30,C5,GLC,A,2,3.296,-0.916,-0.857,C,a-D-Glcp,2,72.6,60,0
HETATM,31,C6,GLC,A,2,4.541,-1.789,-1.112,C,a-D-Glcp,2,65.1,60,0
HETATM,32,O6,GLC,A,2,4.855,-1.779,-2.503,O,a-D-Glcp,2,-1,-1,0
HETATM,33,C4,GLC,A,2,3.04,-0.749,0.641,C,a-D-Glcp,2,69.1,60,0
HETATM,34,O4,GLC,A,2,4.08,0.04,1.228,O,a-D-Glcp,2,-1,-1,0
HETATM,35,H3,GLC,A,2,1.735,0.982,0.596,H,a-D-Glcp,2,3.87,34,0
HETATM,36,H2,GLC,A,2,0.483,-1.792,0.718,H,a-D-Glcp,2,3.79,34,0
HETATM,37,H2O,GLC,A,2,-0.67,0.642,-0.17,H,a-D-Glcp,2,-1,-1,0
HETATM,38,H1,GLC,A,2,0.254,-1.913,-1.546,H,a-D-Glcp,2,5.38,34,0
HETATM,39,H5,GLC,A,2,3.493,0.052,-1.326,H,a-D-Glcp,2,3.99,34,0
HETATM,40,H6,GLC,A,2,5.401,-1.487,-0.508,H,a-D-Glcp,2,4.06-4.14,34,0
HETATM,41,H61,GLC,A,2,4.319,-2.835,-0.858,H,a-D-Glcp,2,-1,-1,0
HETATM,42,H4,GLC,A,2,3.061,-1.728,1.136,H,a-D-Glcp,2,3.61,34,0
HETATM,43,H4O,GLC,A,2,3.886,0.053,2.19,H,a-D-Glcp,2,-1,-1,0
HETATM,44,S1,SO4,A,3,6.013,-0.792,-3.066,S,S,"2,6",-1,-1,0
HETATM,45,O,SO4,A,3,6.984,-1.603,-3.775,O,S,"2,6",-1,-1,0
HETATM,46,O1,SO4,A,3,6.41,0.13,-2.022,O,S,"2,6",-1,-1,0
HETATM,47,O2,SO4,A,3,5.214,0.065,-4.17,O,S,"2,6",-1,-1,0
HETATM,48,H,SO4,A,3,4.325,0.303,-3.809,H,S,"2,6",-1,-1,0
HETATM,49,O6,GTR,A,4,-3.258,3.265,2.768,O,b-D-GalpA,"2,3",-1,-1,0
HETATM,50,C6,GTR,A,4,-2.446,2.394,2.493,C,b-D-GalpA,"2,3",174.8,64,0
