HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component
HETATM,1,O1,PDa,A,1,-2.833,0.744,4.65,O,D-Gal-ol,,-1,-1,0
HETATM,2,C1,PDa,A,1,-2.712,-0.209,3.59,C,D-Gal-ol,,63.5,68,0
HETATM,3,C2,PDa,A,1,-1.22,-0.403,3.304,C,D-Gal-ol,,72.5,68,0
HETATM,4,O2,PDa,A,1,-0.641,0.916,3.195,O,D-Gal-ol,,-1,-1,0
HETATM,5,C3,PDa,A,1,-0.915,-1.203,2.013,C,D-Gal-ol,,79.5,68,0
HETATM,6,O3,PDa,A,1,0.512,-1.429,1.937,O,D-Gal-ol,,-1,-1,0
HETATM,7,C4,PDa,A,1,-1.636,-2.564,1.912,C,D-Gal-ol,,70.7,68,0
HETATM,8,O4,PDa,A,1,-1.728,-2.921,0.51,O,D-Gal-ol,,-1,-1,0
HETATM,9,C5,PDa,A,1,-0.97,-3.768,2.604,C,D-Gal-ol,,70.9,68,0
HETATM,10,O5,PDa,A,1,-1.892,-4.878,2.482,O,D-Gal-ol,,-1,-1,0
HETATM,11,C6,PDa,A,1,-0.635,-3.595,4.082,C,D-Gal-ol,,63.8,68,0
HETATM,12,O6,PDa,A,1,-0.187,-4.856,4.592,O,D-Gal-ol,,-1,-1,0
HETATM,13,H1O,PDa,A,1,-3.785,0.824,4.849,H,D-Gal-ol,,-1,-1,0
HETATM,14,H1,PDa,A,1,-3.228,0.208,2.718,H,D-Gal-ol,,3.78,92,0
HETATM,15,H11,PDa,A,1,-3.191,-1.131,3.917,H,D-Gal-ol,,-1,-1,0
HETATM,16,H2,PDa,A,1,-0.729,-0.845,4.172,H,D-Gal-ol,,4.10,92,0
HETATM,17,H2O,PDa,A,1,-1.08,1.44,3.898,H,D-Gal-ol,,-1,-1,0
HETATM,18,H3,PDa,A,1,-1.22,-0.569,1.167,H,D-Gal-ol,,3.84,92,0
HETATM,19,H4,PDa,A,1,-2.677,-2.47,2.234,H,D-Gal-ol,,3.91,92,0
