HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component
HETATM,1,R1,PDa,A,1,-3.252,1.151,0.089,X,Missing Monosaccharide,,-1,-1,0
HETATM,2,O,PDa,A,1,-3.375,1.439,1.466,O,Missing Monosaccharide,,-1,-1,0
HETATM,3,C1,GAL,A,2,-2.362,0.837,2.294,C,b-D-Galp,1,?,0,0
HETATM,4,O5,GAL,A,2,-1.02,1.222,1.937,O,b-D-Galp,1,-1,-1,0
HETATM,5,C5,GAL,A,2,-0.018,0.662,2.801,C,b-D-Galp,1,?,0,0
HETATM,6,C6,GAL,A,2,1.364,1.211,2.404,C,b-D-Galp,1,?,0,0
HETATM,7,O6,GAL,A,2,1.853,0.68,1.172,O,b-D-Galp,1,-1,-1,0
HETATM,8,C4,GAL,A,2,-0.092,-0.879,2.795,C,b-D-Galp,1,?,0,0
HETATM,9,O4,GAL,A,2,0.051,-1.424,1.481,O,b-D-Galp,1,-1,-1,0
HETATM,10,C3,GAL,A,2,-1.48,-1.271,3.323,C,b-D-Galp,1,?,0,0
HETATM,11,O3,GAL,A,2,-1.618,-2.692,3.436,O,b-D-Galp,1,-1,-1,0
HETATM,12,C2,GAL,A,2,-2.564,-0.694,2.403,C,b-D-Galp,1,?,0,0
HETATM,13,O2,GAL,A,2,-3.849,-1.019,2.971,O,b-D-Galp,1,-1,-1,0
HETATM,14,H1,GAL,A,2,-2.553,1.269,3.286,H,b-D-Galp,1,4.13,18,0
HETATM,15,H5,GAL,A,2,-0.219,1.032,3.816,H,b-D-Galp,1,?,18,0
HETATM,16,H6,GAL,A,2,2.087,0.915,3.172,H,b-D-Galp,1,?,18,0
HETATM,17,H61,GAL,A,2,1.35,2.307,2.376,H,b-D-Galp,1,-1,-1,0
HETATM,18,H4,GAL,A,2,0.692,-1.317,3.421,H,b-D-Galp,1,?,18,0
HETATM,19,H4O,GAL,A,2,0.725,-0.916,0.984,H,b-D-Galp,1,-1,-1,0
HETATM,20,H3,GAL,A,2,-1.615,-0.884,4.34,H,b-D-Galp,1,?,18,0
HETATM,21,H3O,GAL,A,2,-2.579,-2.865,3.47,H,b-D-Galp,1,-1,-1,0
HETATM,22,H2,GAL,A,2,-2.521,-1.187,1.425,H,b-D-Galp,1,2.96,18,0
HETATM,23,H2O,GAL,A,2,-4.496,-0.945,2.242,H,b-D-Galp,1,-1,-1,0
HETATM,24,C1,GLA,A,3,1.536,1.504,0.038,C,a-D-Galp,"1,6",99.3,83,0
HETATM,25,O5,GLA,A,3,2.333,2.693,0.041,O,a-D-Galp,"1,6",-1,-1,0
HETATM,26,C5,GLA,A,3,3.741,2.441,-0.083,C,a-D-Galp,"1,6",71.9,83,0
HETATM,27,C6,GLA,A,3,4.447,3.801,-0.039,C,a-D-Galp,"1,6",61.8,83,0
HETATM,28,O6,GLA,A,3,5.852,3.667,-0.216,O,a-D-Galp,"1,6",-1,-1,0
HETATM,29,C4,GLA,A,3,4.084,1.643,-1.357,C,a-D-Galp,"1,6",69.9,83,0
HETATM,30,O4,GLA,A,3,3.827,2.4,-2.555,O,a-D-Galp,"1,6",-1,-1,0
HETATM,31,C3,GLA,A,3,3.234,0.373,-1.432,C,a-D-Galp,"1,6",70.3,83,0
HETATM,32,O3,GLA,A,3,3.417,-0.263,-2.71,O,a-D-Galp,"1,6",-1,-1,0
HETATM,33,C2,GLA,A,3,1.75,0.7,-1.257,C,a-D-Galp,"1,6",69.3,83,0
HETATM,34,O2,GLA,A,3,0.998,-0.522,-1.238,O,a-D-Galp,"1,6",-1,-1,0
HETATM,35,H1,GLA,A,3,0.484,1.799,0.085,H,a-D-Galp,"1,6",4.93,76,0
HETATM,36,H5,GLA,A,3,4.073,1.86,0.787,H,a-D-Galp,"1,6",3.97,76,0
HETATM,37,H6,GLA,A,3,4.251,4.308,0.913,H,a-D-Galp,"1,6",3.69-3.71,76,0
HETATM,38,H61,GLA,A,3,4.063,4.465,-0.821,H,a-D-Galp,"1,6",-1,-1,0
HETATM,39,H6O,GLA,A,3,6.236,3.448,0.652,H,a-D-Galp,"1,6",-1,-1,0
HETATM,40,H4,GLA,A,3,5.145,1.371,-1.383,H,a-D-Galp,"1,6",3.96,76,0
HETATM,41,H4O,GLA,A,3,4.509,3.099,-2.593,H,a-D-Galp,"1,6",-1,-1,0
HETATM,42,H3,GLA,A,3,3.553,-0.351,-0.674,H,a-D-Galp,"1,6",3.80,76,0
HETATM,43,H3O,GLA,A,3,3.46,0.475,-3.354,H,a-D-Galp,"1,6",-1,-1,0
HETATM,44,H2,GLA,A,3,1.395,1.282,-2.117,H,a-D-Galp,"1,6",3.79,76,0
HETATM,45,H2O,GLA,A,3,1.357,-1.062,-1.97,H,a-D-Galp,"1,6",-1,-1,0
