HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component
HETATM,1,O6,GTR,A,1,-3.553,-0.835,3.903,O,b-D-GalpA,,-1,-1,0
HETATM,2,C6,GTR,A,1,-2.898,-0.019,3.273,C,b-D-GalpA,,174.6,60,0
HETATM,3,O61,GTR,A,1,-3.49,1.049,2.701,O,b-D-GalpA,,-1,-1,0
HETATM,4,C5,GTR,A,1,-1.406,-0.095,2.992,C,b-D-GalpA,,75.9,60,0
HETATM,5,O5,GTR,A,1,-0.682,-0.438,4.18,O,b-D-GalpA,,-1,-1,0
HETATM,6,C1,GTR,A,1,0.72,-0.455,3.95,C,b-D-GalpA,,100.6,60,0
HETATM,7,O1,GTR,A,1,1.346,-0.787,5.188,O,b-D-GalpA,,-1,-1,0
HETATM,8,C2,GTR,A,1,1.131,-1.486,2.878,C,b-D-GalpA,,80.3,60,0
HETATM,9,O2,GTR,A,1,2.536,-1.335,2.635,O,b-D-GalpA,,-1,-1,0
HETATM,10,C3,GTR,A,1,0.331,-1.2,1.588,C,b-D-GalpA,,72.2,60,0
HETATM,11,O3,GTR,A,1,0.554,-2.211,0.598,O,b-D-GalpA,,-1,-1,0
HETATM,12,C4,GTR,A,1,-1.172,-1.149,1.903,C,b-D-GalpA,,71.2,60,0
HETATM,13,O4,GTR,A,1,-1.542,-2.479,2.329,O,b-D-GalpA,,-1,-1,0
HETATM,14,H6O,GTR,A,1,-4.436,0.983,2.964,H,b-D-GalpA,,-1,-1,0
HETATM,15,H5,GTR,A,1,-1.075,0.898,2.659,H,b-D-GalpA,,4.15,39,0
HETATM,16,H1,GTR,A,1,1.069,0.551,3.677,H,b-D-GalpA,,4.72,39,0
HETATM,17,H1O,GTR,A,1,0.904,-0.204,5.831,H,b-D-GalpA,,-1,-1,0
HETATM,18,H2,GTR,A,1,0.901,-2.499,3.23,H,b-D-GalpA,,3.77,39,0
HETATM,19,H3,GTR,A,1,0.665,-0.253,1.146,H,b-D-GalpA,,4.01,39,0
HETATM,20,H3O,GTR,A,1,0.113,-3.018,0.934,H,b-D-GalpA,,-1,-1,0
HETATM,21,H4,GTR,A,1,-1.751,-0.934,0.998,H,b-D-GalpA,,4.53,39,0
HETATM,22,H4O,GTR,A,1,-2.371,-2.431,2.846,H,b-D-GalpA,,-1,-1,0
HETATM,23,C1,BGC,A,2,3.318,-2.524,2.778,C,b-D-Glcp,2,103.4,63,0
HETATM,24,O5,BGC,A,2,2.845,-3.557,1.923,O,b-D-Glcp,2,-1,-1,0
HETATM,25,C5,BGC,A,2,3.752,-4.657,1.817,C,b-D-Glcp,2,77.4,63,0
HETATM,26,C6,BGC,A,2,3.086,-5.661,0.86,C,b-D-Glcp,2,65.1,63,0
HETATM,27,O6,BGC,A,2,3.909,-6.785,0.63,O,b-D-Glcp,2,-1,-1,0
HETATM,28,C4,BGC,A,2,4.073,-5.304,3.194,C,b-D-Glcp,2,79.8,63,0
HETATM,29,O4,BGC,A,2,5.212,-6.165,3.005,O,b-D-Glcp,2,-1,-1,0
HETATM,30,C3,BGC,A,2,4.356,-4.236,4.268,C,b-D-Glcp,2,77.4,63,0
HETATM,31,O3,BGC,A,2,4.269,-4.836,5.577,O,b-D-Glcp,2,-1,-1,0
HETATM,32,C2,BGC,A,2,3.369,-3.067,4.216,C,b-D-Glcp,2,74.5,63,0
HETATM,33,O2,BGC,A,2,3.785,-2.084,5.171,O,b-D-Glcp,2,-1,-1,0
HETATM,34,H1,BGC,A,2,4.327,-2.228,2.465,H,b-D-Glcp,2,4.69,53,0
HETATM,35,H5,BGC,A,2,4.685,-4.315,1.352,H,b-D-Glcp,2,3.57,53,0
HETATM,36,H6,BGC,A,2,2.874,-5.174,-0.099,H,b-D-Glcp,2,4.06-4.16,53,0
HETATM,37,H61,BGC,A,2,2.117,-5.963,1.277,H,b-D-Glcp,2,-1,-1,0
HETATM,38,H4,BGC,A,2,3.211,-5.903,3.507,H,b-D-Glcp,2,3.66,53,0
HETATM,39,H3,BGC,A,2,5.386,-3.871,4.176,H,b-D-Glcp,2,3.68,53,0
HETATM,40,H3O,BGC,A,2,4.29,-4.076,6.198,H,b-D-Glcp,2,-1,-1,0
HETATM,41,H2,BGC,A,2,2.387,-3.426,4.546,H,b-D-Glcp,2,3.23,53,0
HETATM,42,H2O,BGC,A,2,3.053,-1.426,5.197,H,b-D-Glcp,2,-1,-1,0
HETATM,43,S1,SO4,A,3,3.202,-8.169,0.16,S,S,"2,6",-1,-1,0
HETATM,44,O,SO4,A,3,4.242,-9.16,0.003,O,S,"2,6",-1,-1,0
HETATM,45,O1,SO4,A,3,2.25,-7.872,-0.883,O,S,"2,6",-1,-1,0
HETATM,46,O2,SO4,A,3,2.379,-8.592,1.481,O,S,"2,6",-1,-1,0
HETATM,47,H,SO4,A,3,3.045,-8.845,2.167,H,S,"2,6",-1,-1,0
HETATM,48,C1,BEM,A,4,5.6,-7.003,4.09,C,b-D-ManpA,"2,4",101.1,64,0
HETATM,49,O5,BEM,A,4,6.801,-7.664,3.655,O,b-D-ManpA,"2,4",-1,-1,0
HETATM,50,C5,BEM,A,4,7.42,-8.446,4.702,C,b-D-ManpA,"2,4",76.6,64,0
HETATM,51,C6,BEM,A,4,8.684,-9.042,4.067,C,b-D-ManpA,"2,4",176.0,64,0
HETATM,52,O6,BEM,A,4,9.406,-9.889,4.565,O,b-D-ManpA,"2,4",-1,-1,0
HETATM,53,O61,BEM,A,4,8.944,-8.5,2.843,O,b-D-ManpA,"2,4",-1,-1,0
HETATM,54,C4,BEM,A,4,6.489,-9.558,5.195,C,b-D-ManpA,"2,4",69.5,64,0
HETATM,55,O4,BEM,A,4,6.975,-10.127,6.417,O,b-D-ManpA,"2,4",-1,-1,0
HETATM,56,C3,BEM,A,4,5.08,-9.018,5.484,C,b-D-ManpA,"2,4",73.9,64,0
HETATM,57,O3,BEM,A,4,4.219,-10.147,5.701,O,b-D-ManpA,"2,4",-1,-1,0
HETATM,58,C2,BEM,A,4,4.553,-8.095,4.381,C,b-D-ManpA,"2,4",71.8,64,0
HETATM,59,O2,BEM,A,4,4.275,-8.863,3.184,O,b-D-ManpA,"2,4",-1,-1,0
HETATM,60,H1,BEM,A,4,5.854,-6.407,4.97,H,b-D-ManpA,"2,4",4.67,49,0
HETATM,61,H5,BEM,A,4,7.749,-7.779,5.506,H,b-D-ManpA,"2,4",3.67,49,0
HETATM,62,H6O,BEM,A,4,8.231,-7.858,2.626,H,b-D-ManpA,"2,4",-1,-1,0
HETATM,63,H4,BEM,A,4,6.434,-10.37,4.46,H,b-D-ManpA,"2,4",3.74,49,0
HETATM,64,H4O,BEM,A,4,6.323,-10.813,6.67,H,b-D-ManpA,"2,4",-1,-1,0
HETATM,65,H3,BEM,A,4,5.096,-8.463,6.429,H,b-D-ManpA,"2,4",3.71,49,0
HETATM,66,H3O,BEM,A,4,3.357,-9.964,5.281,H,b-D-ManpA,"2,4",-1,-1,0
HETATM,67,H2,BEM,A,4,3.592,-7.672,4.69,H,b-D-ManpA,"2,4",3.76,49,0
HETATM,68,H2O,BEM,A,4,5.145,-8.991,2.738,H,b-D-ManpA,"2,4",-1,-1,0
