HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component
HETATM,1,R1,PDa,A,1,-4.168,2.923,1.169,X,Missing Monosaccharide,,-1,-1,0
HETATM,2,O,PDa,A,1,-3.259,1.873,0.912,O,Missing Monosaccharide,,-1,-1,0
HETATM,3,C1,BGC,A,2,-3.149,0.966,2.021,C,b-D-Glcp,1,?,0,0
HETATM,4,O5,BGC,A,2,-2.146,1.407,2.947,O,b-D-Glcp,1,-1,-1,0
HETATM,5,C5,BGC,A,2,-2.037,0.547,4.086,C,b-D-Glcp,1,?,0,0
HETATM,6,C6,BGC,A,2,-1.044,1.212,5.059,C,b-D-Glcp,1,?,0,0
HETATM,7,O6,BGC,A,2,-0.905,0.524,6.296,O,b-D-Glcp,1,-1,-1,0
HETATM,8,C4,BGC,A,2,-1.593,-0.873,3.677,C,b-D-Glcp,1,?,0,0
HETATM,9,O4,BGC,A,2,-1.733,-1.73,4.819,O,b-D-Glcp,1,-1,-1,0
HETATM,10,C3,BGC,A,2,-2.508,-1.407,2.558,C,b-D-Glcp,1,?,0,0
HETATM,11,O3,BGC,A,2,-1.947,-2.59,1.962,O,b-D-Glcp,1,-1,-1,0
HETATM,12,C2,BGC,A,2,-2.728,-0.389,1.435,C,b-D-Glcp,1,?,0,0
HETATM,13,O2,BGC,A,2,-3.721,-0.93,0.544,O,b-D-Glcp,1,-1,-1,0
HETATM,14,H1,BGC,A,2,-4.121,0.866,2.528,H,b-D-Glcp,1,4.13,29,0
HETATM,15,H5,BGC,A,2,-3.009,0.492,4.595,H,b-D-Glcp,1,?,29,0
HETATM,16,H6,BGC,A,2,-0.053,1.288,4.598,H,b-D-Glcp,1,3.43-3.66,29,0
HETATM,17,H61,BGC,A,2,-1.362,2.239,5.274,H,b-D-Glcp,1,-1,-1,0
HETATM,18,H6O,BGC,A,2,-1.8,0.383,6.656,H,b-D-Glcp,1,-1,-1,0
HETATM,19,H4,BGC,A,2,-0.559,-0.854,3.308,H,b-D-Glcp,1,?,29,0
HETATM,20,H3,BGC,A,2,-3.471,-1.717,2.985,H,b-D-Glcp,1,?,29,0
HETATM,21,H3O,BGC,A,2,-2.603,-2.885,1.302,H,b-D-Glcp,1,-1,-1,0
HETATM,22,H2,BGC,A,2,-1.806,-0.284,0.848,H,b-D-Glcp,1,2.96,29,0
HETATM,23,H2O,BGC,A,2,-3.791,-0.338,-0.228,H,b-D-Glcp,1,-1,-1,0
HETATM,24,C1,BMA,A,3,-0.512,-2.367,5.208,C,b-D-Manp,"1,4",101.2,81,0
HETATM,25,O5,BMA,A,3,-0.094,-3.292,4.205,O,b-D-Manp,"1,4",-1,-1,0
HETATM,26,C5,BMA,A,3,1.135,-3.955,4.525,C,b-D-Manp,"1,4",77.1,81,0
HETATM,27,C6,BMA,A,3,1.483,-4.842,3.326,C,b-D-Manp,"1,4",61.9,81,0
HETATM,28,O6,BMA,A,3,0.456,-5.808,3.109,O,b-D-Manp,"1,4",-1,-1,0
HETATM,29,C4,BMA,A,3,0.987,-4.763,5.824,C,b-D-Manp,"1,4",67.8,81,0
HETATM,30,O4,BMA,A,3,2.22,-5.38,6.215,O,b-D-Manp,"1,4",-1,-1,0
HETATM,31,C3,BMA,A,3,0.551,-3.82,6.954,C,b-D-Manp,"1,4",73.9,81,0
HETATM,32,O3,BMA,A,3,0.311,-4.585,8.149,O,b-D-Manp,"1,4",-1,-1,0
HETATM,33,C2,BMA,A,3,-0.724,-3.07,6.569,C,b-D-Manp,"1,4",71.8,81,0
HETATM,34,O2,BMA,A,3,-1.809,-4.019,6.523,O,b-D-Manp,"1,4",-1,-1,0
HETATM,35,H1,BMA,A,3,0.267,-1.602,5.323,H,b-D-Manp,"1,4",4.67,65,0
HETATM,36,H5,BMA,A,3,1.933,-3.208,4.629,H,b-D-Manp,"1,4",3.54,65,0
HETATM,37,H6,BMA,A,3,2.429,-5.37,3.474,H,b-D-Manp,"1,4",3.77-3.92,65,0
HETATM,38,H61,BMA,A,3,1.561,-4.24,2.414,H,b-D-Manp,"1,4",-1,-1,0
HETATM,39,H6O,BMA,A,3,-0.373,-5.287,3.044,H,b-D-Manp,"1,4",-1,-1,0
HETATM,40,H4,BMA,A,3,0.24,-5.56,5.721,H,b-D-Manp,"1,4",3.68,65,0
HETATM,41,H4O,BMA,A,3,2.308,-6.187,5.672,H,b-D-Manp,"1,4",-1,-1,0
HETATM,42,H3,BMA,A,3,1.355,-3.111,7.187,H,b-D-Manp,"1,4",3.71,65,0
HETATM,43,H3O,BMA,A,3,1.103,-5.151,8.247,H,b-D-Manp,"1,4",-1,-1,0
HETATM,44,H2,BMA,A,3,-1.0,-2.34,7.338,H,b-D-Manp,"1,4",3.76,65,0
HETATM,45,H2O,BMA,A,3,-1.723,-4.535,7.35,H,b-D-Manp,"1,4",-1,-1,0
