HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component
HETATM,1,O6,BGC,A,1,0.761,-3.403,-0.391,O,b-D-Glcp,,-1.0,-1,0
HETATM,2,C6,BGC,A,1,1.477,-2.392,0.307,C,b-D-Glcp,,61.4,85,0
HETATM,3,C5,BGC,A,1,2.28,-2.918,1.515,C,b-D-Glcp,,76.0,85,0
HETATM,4,O5,BGC,A,1,3.003,-1.806,2.06,O,b-D-Glcp,,-1.0,-1,0
HETATM,5,C1,BGC,A,1,3.867,-2.186,3.128,C,b-D-Glcp,,97.0,85,0
HETATM,6,O1,BGC,A,1,4.577,-1.039,3.575,O,b-D-Glcp,,-1.0,-1,0
HETATM,7,C2,BGC,A,1,3.036,-2.761,4.282,C,b-D-Glcp,,75.1,85,0
HETATM,8,O2,BGC,A,1,3.886,-3.131,5.38,O,b-D-Glcp,,-1.0,-1,0
HETATM,9,C3,BGC,A,1,2.246,-3.975,3.794,C,b-D-Glcp,,75.7,85,0
HETATM,10,O3,BGC,A,1,1.497,-4.467,4.917,O,b-D-Glcp,,-1.0,-1,0
HETATM,11,C4,BGC,A,1,1.376,-3.613,2.571,C,b-D-Glcp,,79.6,85,0
HETATM,12,O4,BGC,A,1,0.863,-4.811,1.972,O,b-D-Glcp,,-1.0,-1,0
HETATM,13,H6O,BGC,A,1,1.264,-4.236,-0.278,H,b-D-Glcp,,-1.0,-1,0
HETATM,14,H6,BGC,A,1,2.153,-1.925,-0.413,H,b-D-Glcp,,3.81-3.97,94,0
HETATM,15,H61,BGC,A,1,0.773,-1.618,0.628,H,b-D-Glcp,,-1.0,-1,0
HETATM,16,H5,BGC,A,1,3.001,-3.652,1.127,H,b-D-Glcp,,3.61,94,0
HETATM,17,H1,BGC,A,1,4.615,-2.917,2.782,H,b-D-Glcp,,4.69,94,0
HETATM,18,H1O,BGC,A,1,4.672,-1.148,4.541,H,b-D-Glcp,,-1.0,-1,0
HETATM,19,H2,BGC,A,1,2.355,-1.991,4.667,H,b-D-Glcp,,3.31,94,0
HETATM,20,H2O,BGC,A,1,3.328,-3.682,5.965,H,b-D-Glcp,,-1.0,-1,0
HETATM,21,H3,BGC,A,1,2.928,-4.8,3.535,H,b-D-Glcp,,3.69,94,0
HETATM,22,H3O,BGC,A,1,0.91,-5.16,4.583,H,b-D-Glcp,,-1.0,-1,0
HETATM,23,H4,BGC,A,1,0.583,-2.93,2.889,H,b-D-Glcp,,3.7,94,0
HETATM,24,C1,GAL,A,2,-0.484,-5.209,2.263,C,b-D-Galp,4,103.7,89,0
HETATM,25,O5,GAL,A,2,-0.56,-6.54,1.741,O,b-D-Galp,4,-1.0,-1,0
HETATM,26,C5,GAL,A,2,-1.854,-7.167,1.797,C,b-D-Galp,4,75.8,89,0
HETATM,27,C6,GAL,A,2,-1.706,-8.53,1.117,C,b-D-Galp,4,61.7,89,0
HETATM,28,O6,GAL,A,2,-0.851,-9.367,1.901,O,b-D-Galp,4,-1.0,-1,0
HETATM,29,C4,GAL,A,2,-2.93,-6.319,1.114,C,b-D-Galp,4,65.8,89,0
HETATM,30,O4,GAL,A,2,-2.68,-6.194,-0.29,O,b-D-Galp,4,-1.0,-1,0
HETATM,31,C3,GAL,A,2,-2.947,-4.939,1.774,C,b-D-Galp,4,78.4,89,0
HETATM,32,O3,GAL,A,2,-3.918,-4.11,1.105,O,b-D-Galp,4,-1.0,-1,0
HETATM,33,C2,GAL,A,2,-1.568,-4.281,1.65,C,b-D-Galp,4,70.6,89,0
HETATM,34,O2,GAL,A,2,-1.634,-3.016,2.323,O,b-D-Galp,4,-1.0,-1,0
HETATM,35,H1,GAL,A,2,-0.619,-5.255,3.346,H,b-D-Galp,4,4.52,85,0
HETATM,36,H5,GAL,A,2,-2.097,-7.317,2.857,H,b-D-Galp,4,3.72,85,0
HETATM,37,H6,GAL,A,2,-2.669,-9.035,1.017,H,b-D-Galp,4,3.77-3.80,85,0
HETATM,38,H61,GAL,A,2,-1.242,-8.438,0.132,H,b-D-Galp,4,-1.0,-1,0
HETATM,39,H6O,GAL,A,2,-0.017,-8.865,2.001,H,b-D-Galp,4,-1.0,-1,0
HETATM,40,H4,GAL,A,2,-3.907,-6.795,1.204,H,b-D-Galp,4,4.1,85,0
HETATM,41,H4O,GAL,A,2,-3.116,-5.372,-0.581,H,b-D-Galp,4,-1.0,-1,0
HETATM,42,H3,GAL,A,2,-3.202,-5.052,2.84,H,b-D-Galp,4,3.78,85,0
HETATM,43,H2,GAL,A,2,-1.347,-4.071,0.6,H,b-D-Galp,4,3.68,85,0
HETATM,44,H2O,GAL,A,2,-2.246,-2.471,1.79,H,b-D-Galp,4,-1.0,-1,0
