HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component
HETATM,1,O6,BGC,A,1,-3.846,-1.077,2.334,O,b-D-Glcp,,-1.0,-1,0
HETATM,2,C6,BGC,A,1,-2.577,-1.325,1.721,C,b-D-Glcp,,61.4,85,0
HETATM,3,C5,BGC,A,1,-1.478,-1.291,2.791,C,b-D-Glcp,,76.0,85,0
HETATM,4,O5,BGC,A,1,-1.911,-2.234,3.794,O,b-D-Glcp,,-1.0,-1,0
HETATM,5,C1,BGC,A,1,-1.054,-2.245,4.921,C,b-D-Glcp,,97.0,85,0
HETATM,6,O1,BGC,A,1,-1.588,-3.151,5.879,O,b-D-Glcp,,-1.0,-1,0
HETATM,7,C2,BGC,A,1,0.35,-2.725,4.54,C,b-D-Glcp,,75.1,85,0
HETATM,8,O2,BGC,A,1,1.2,-2.654,5.7,O,b-D-Glcp,,-1.0,-1,0
HETATM,9,C3,BGC,A,1,0.91,-1.85,3.42,C,b-D-Glcp,,75.7,85,0
HETATM,10,O3,BGC,A,1,2.12,-2.434,2.905,O,b-D-Glcp,,-1.0,-1,0
HETATM,11,C4,BGC,A,1,-0.082,-1.665,2.249,C,b-D-Glcp,,79.6,85,0
HETATM,12,O4,BGC,A,1,0.53,-0.652,1.43,O,b-D-Glcp,,-1.0,-1,0
HETATM,13,H6O,BGC,A,1,-3.91,-1.734,3.054,H,b-D-Glcp,,-1.0,-1,0
HETATM,14,H6,BGC,A,1,-2.635,-2.308,1.241,H,b-D-Glcp,,3.81-3.97,94,0
HETATM,15,H61,BGC,A,1,-2.445,-0.563,0.954,H,b-D-Glcp,,-1.0,-1,0
HETATM,16,H5,BGC,A,1,-1.468,-0.29,3.24,H,b-D-Glcp,,3.61,94,0
HETATM,17,H1,BGC,A,1,-1.016,-1.253,5.391,H,b-D-Glcp,,4.69,94,0
HETATM,18,H1O,BGC,A,1,-2.328,-2.678,6.296,H,b-D-Glcp,,-1.0,-1,0
HETATM,19,H2,BGC,A,1,0.335,-3.776,4.224,H,b-D-Glcp,,3.31,94,0
HETATM,20,H2O,BGC,A,1,0.813,-3.283,6.337,H,b-D-Glcp,,-1.0,-1,0
