Linkage,Residue,Trust,H1,H2,H3,H4,H5,H6,H7,H8,H9
,Me,97%,3.56,,,,,,,,
1,b-D-Galp,54%,4.41,3.71,3.90,4.13,3.86,3.81,,,
"1,3",b-D-Galp,38%,4.53,3.62,3.70,4.05,3.78,3.85,,,
"1,3,2",a-D-Manp,64%,5.07,4.01,3.86,3.70,3.98,3.75-3.89,,,
"1,3,4",a-D-Glcp,52%,5.14,3.59,3.69,3.45,4.30,4.06,,,
"1,3,4,6",S,,,,,,,,,,
"1,3,4,2",b-D-GlcpN,33%,4.81,3.73,3.57,3.49,3.43,3.54-3.74,,,
"1,3,4,2,2",Ac,98%,-,2.03,,,,,,,
"1,3,4,2,4",b-D-GlcpN,34%,4.69,3.60,3.66,3.41,3.42,3.76-3.90,,,
"1,3,4,2,4,2",Ac,98%,-,2.03,,,,,,,
"1,3,4,2,4,2",b-D-Galp,37%,4.54,3.60,4.36,4.18,3.75,3.78-3.83,,,
"1,3,4,2,4,2,3",S,,,,,,,,,,
"1,3,4,2,4,2,4",a-D-Galp,47%,4.95,3.89,4.42,4.07,4.47,3.99,,,
"1,3,4,2,4,2,4,6",S,,,,,,,,,,
"1,3,4,2,4,2,4,3",a-Neup,75%,-,-,1.84-2.71,3.69,3.82,3.62,3.58,3.87,3.64-3.87
"1,3,4,2,4,2,4,3,5",Ac,99%,-,2.03,,,,,,,
