Linkage,Residue,Trust,H1,H2,H3,H4,H5,H6,H7,H8,H9
,Me,95%,3.41,,,,,,,,
1,a-D-GlcpN,71%,4.84,3.66,3.94,3.87,3.85,3.63,,,
"1,2",Ac,98%,-,2.05,,,,,,,
"1,4",a-D-GlcpN,57%,5.13,4.09,3.98,3.78,4.07,3.82-3.92,,,
"1,4,2",Ac,98%,-,2.05,,,,,,,
"1,4,4",b-D-Galp,57%,4.62,3.62,3.95,4.06,3.68,4-4.02,,,
"1,4,4,6",S,,,,,,,,,,
"1,4,4,2",b-D-Galp,55%,5.14,3.60,3.72,4.03,3.75,3.79-3.87,,,
"1,4,4,2,6",S,,,,,,,,,,
"1,4,4,2,4",a-D-GlcpA,70%,5.12,3.59,3.93,3.78,4.14,-,,,
"1,4,4,2,4,4",a-D-Glcp,46%,4.97,3.59,3.85,3.40,3.73,4.06-4.15,,,
"1,4,4,2,4,4,6",S,,,,,,,,,,
"1,4,4,2,4,4,2",b-D-GalpA,45%,4.60,3.66,3.74,4.47,4.18,-,,,
"1,4,4,2,4,4,2,4",b-D-Manp,26%,4.81,4.12,3.75,3.92,3.50,3.73-3.88,,,
"1,4,4,2,4,4,2,4,3",a-Neup,74%,-,-,1.97-2.58,3.69,3.82,3.62,3.58,3.87,3.64-3.87
"1,4,4,2,4,4,2,4,3,5",Ac,99%,-,2.03,,,,,,,
