Linkage,Residue,Trust,H1,H2,H3,H4,H5,H6,H7,H8,H9
,Me,98%,3.57,,,,,,,,
1,b-D-GalpA,29%,4.44,3.77,4.01,4.22,4.14,-,,,
"1,2",b-D-GalpA,10%,4.55,3.62,3.75,4.45,4.43,-,,,
"1,2,2",a-D-ManpA,55%,5.12,4.02,3.83,3.74,4.21,-,,,
"1,2,4",b-D-Galp,55%,4.78,3.75,3.83,4.16,3.68,4.01,,,
"1,2,4,6",S,,,,,,,,,,
"1,2,4,3",b-D-GalpA,49%,4.69,3.63,3.74,4.45,4.43,-,,,
"1,2,4,3,4",b-D-Galp,70%,4.54,3.67,4.27,4.11,3.70,3.61,,,
"1,2,4,3,4,3",S,,,,,,,,,,
"1,2,4,3,4,2",b-D-GlcpN,59%,4.87,3.74,3.72,3.65,3.68,3.57-4.03,,,
"1,2,4,3,4,2,2",Ac,98%,-,2.03,,,,,,,
"1,2,4,3,4,2,6",S,,,,,,,,,,
"1,2,4,3,4,2,4",b-D-GlcpA,43%,4.53,3.55,3.99,3.58,3.90,-,,,
"1,2,4,3,4,2,4,3",a-Neup,57%,-,-,1.76-2.73,4.10,3.99,3.99,3.52,3.77,3.61-3.82
"1,2,4,3,4,2,4,3,5",Ac,99%,-,2.03,,,,,,,
"1,2,4,3,4,2,4,3,4",b-D-GlcpN,26%,4.56,3.58,3.72,3.51,3.49,4.09-4.16,,,
"1,2,4,3,4,2,4,3,4,2",Ac,98%,-,2.03,,,,,,,
"1,2,4,3,4,2,4,3,4,6",S,,,,,,,,,,
"1,2,4,3,4,2,4,3,4,3",b-L-Fucp,28%,4.65,3.65,3.68,3.79,3.85,1.19,,,
"1,2,4,3,4,2,4,3,4,3,2",b-D-GalpA,46%,4.50,3.60,3.73,4.22,4.15,-,,,
