Linkage,Residue,Trust,H1,H2,H3,H4,H5,H6,H7,H8,H9
,Me,97%,3.58,,,,,,,,
1,b-D-Glcp,47%,4.38,3.91,3.56,3.64,3.60,3.82-3.95,,,
"1,4",b-D-Glcp,86%,4.51,3.31,3.50,3.40,3.49,3.73-3.91,,,
"1,2",b-D-Galp,20%,5.12,3.60,3.70,4.09,3.71,4.01,,,
"1,2,6",S,,,,,,,,,,
"1,2,3",b-D-Manp,45%,4.90,4.37,3.72,3.82,3.43,3.73-3.81,,,
"1,2,3,4",a-D-GalpA,48%,5.21,3.66,3.74,4.21,4.50,-,,,
"1,2,3,2",b-D-GlcpN,59%,4.77,3.70,3.93,3.67,3.93,3.78-3.88,,,
"1,2,3,2,2",Ac,98%,-,2.03,,,,,,,
"1,2,3,2,6",S,,,,,,,,,,
"1,2,3,2,4",a-D-GlcpN,28%,5.20,3.78,3.83,3.41,3.71,4.08-4.15,,,
"1,2,3,2,4,2",Ac,98%,-,2.05,,,,,,,
"1,2,3,2,4,6",S,,,,,,,,,,
"1,2,3,2,4,2",b-D-GalpA,12%,4.55,3.60,3.78,4.29,4.18,-,,,
"1,2,3,2,4,2,3",b-Neup,51%,-,-,1.82-2.27,3.66,4.04,4.23,3.45,3.62,3.67-3.85
"1,2,3,2,4,2,3,5",Ac,95%,-,2.05,,,,,,,
