Linkage,Residue,Trust,H1,H2,H3,H4,H5,H6,H7,H8,H9
,Me,95%,3.48,,,,,,,,
1,b-Neup,64%,-,-,1.60-2.45,4.03,3.79,4.23,3.58,3.86,3.64-3.87
"1,5",Ac,95%,-,2.05,,,,,,,
"1,4",a-D-GlcpN,21%,5.20,3.78,3.83,3.57,3.96,4.08-4.15,,,
"1,4,2",Ac,98%,-,2.05,,,,,,,
"1,4,6",S,,,,,,,,,,
"1,4,2",b-D-Galp,40%,4.54,3.60,4.16,4.27,3.70,3.71-3.82,,,
"1,4,2,3",S,,,,,,,,,,
"1,4,2,4",b-D-GlcpN,18%,4.69,3.60,3.66,3.61,3.44,4.06-4.13,,,
"1,4,2,4,2",Ac,98%,-,2.03,,,,,,,
"1,4,2,4,6",S,,,,,,,,,,
"1,4,2,4,2",a-D-Galp,10%,5.22,3.89,3.97,4.14,4.12,3.79-3.87,,,
"1,4,2,4,2,3",a-D-Galp,81%,5.13,3.85,3.92,4.01,4.09,3.73,,,
"1,4,2,4,2,4",a-D-Galp,75%,4.99,3.83,3.85,3.99,4.01,3.80-3.88,,,
"1,4,2,4,2,4,4",a-D-Galp,75%,4.97,3.94,3.98,4.25,4.44,3.70-3.84,,,
"1,4,2,4,2,4,4,6",S,,,,,,,,,,
"1,4,2,4,2,4,4,4",b-D-Galp,58%,4.69,3.62,4.24,3.57,3.72,3.71-3.85,,,
"1,4,2,4,2,4,4,4,3",S,,,,,,,,,,
"1,4,2,4,2,4,4,4,2",a-D-Fucp,47%,5.26,3.89,3.97,3.82,4.08,1.14,,,
"1,4,2,4,2,4,4,4,2,2",b-D-ManpA,10%,4.79,3.99,3.74,3.74,3.94,-,,,
"1,4,2,4,2,4,4,4,2,2,3",b-D-Glcp,62%,4.84,3.37,3.51,3.38,3.45,3.74-3.89,,,
